127.0.0.1 - - [10/Apr/2023:16:24:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:25:06 +0900] "GET /pilotWeb/lookupFiles.jsp HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:25:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:25:30 +0900] "POST /pilotWeb/deleteFiles.jsp HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:27:16 +0900] "POST /pilotWeb/deleteFiles.jsp HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:27:36 +0900] "GET /pilotWeb/lookupFiles.jsp HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:27:43 +0900] "POST /pilotWeb/deleteFiles.jsp HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:28:43 +0900] "GET /pilotWeb/lookupFiles.jsp HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:28:48 +0900] "POST /pilotWeb/deleteFiles.jsp HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:29:21 +0900] "GET /pilotWeb/lookupFiles.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:29:35 +0900] "GET /pilotWeb/lookupFiles.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:29:37 +0900] "POST /pilotWeb/deleteFiles.jsp HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:29:42 +0900] "POST /pilotWeb/deleteFiles.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:29:53 +0900] "GET /pilotWeb/lookupFiles.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:29:55 +0900] "POST /pilotWeb/deleteFiles.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [10/Apr/2023:16:30:16 +0900] "GET /pilotWeb/lookupFiles.jsp HTTP/1.1" 200 1449
